Gene,Score
GENE_153,0.171675
GENE_154,0.217794
GENE_155,0.331352
GENE_156,0.126914
GENE_157,0.272746
GENE_158,0.380714
GENE_159,0.089252
GENE_160,0.268463
GENE_161,0.275988
GENE_163,0.328182
GENE_193,0.126305
GENE_196,0.117954
GENE_197,0.302194
GENE_198,0.279698
GENE_199,0.275049
GENE_200,0.284645
GENE_202,0.181998
GENE_203,0.273225
GENE_204,0.279307
GENE_205,0.178565
GENE_206,0.436577
GENE_207,0.297383
GENE_208,0.13087
GENE_209,0.315655
GENE_210,0.152532
GENE_211,0.328708
GENE_212,0.36586
GENE_213,0.167932
GENE_215,0.346338
GENE_217,0.291278
GENE_218,0.332206
GENE_219,0.439679
GENE_220,0.225461
GENE_221,0.174626
GENE_222,0.161049
GENE_224,0.168419
GENE_225,0.24229
GENE_226,0.284115
GENE_229,0.277669
GENE_230,0.332718
GENE_231,0.2513
GENE_232,0.395353
GENE_234,0.223534
GENE_235,0.522017
GENE_236,0.312567
GENE_237,0.164284
GENE_238,0.142911
GENE_240,0.298247
GENE_241,0.227654
GENE_242,0.3214
GENE_243,0.297324
GENE_244,0.242717
GENE_245,0.165321
GENE_246,0.098515
GENE_249,0.205349
GENE_250,0.33564
GENE_251,0.271409
GENE_252,0.125426
GENE_253,0.267318
GENE_254,0.288532
GENE_255,0.161614
GENE_256,0.265373
GENE_257,0.255821
GENE_259,0.135703
GENE_260,0.285779
GENE_261,0.306078
GENE_262,0.358305
GENE_263,0.35538
GENE_264,0.112233
GENE_265,0.156217
GENE_266,0.301504
GENE_267,0.301379
GENE_269,0.301505
GENE_270,0.635273
GENE_271,0.307089
GENE_274,0.363557
GENE_275,0.3454
GENE_276,0.315139
GENE_277,0.218473
GENE_278,0.325897
GENE_279,0.172717
GENE_280,0.226318
GENE_281,0.201464
GENE_282,0.258187
GENE_283,0.481466
GENE_284,0.063273
GENE_285,0.318626
GENE_286,0.088728
GENE_287,0.202807
GENE_288,0.358895
GENE_289,0.256428
GENE_290,0.142226
GENE_291,0.17847
GENE_292,0.31796
GENE_293,0.176963
GENE_294,0.271646
GENE_295,0.254557
GENE_297,0.18484
GENE_299,0.464394
GENE_300,0.313392
GENE_301,0.047486
GENE_302,0.268645
GENE_303,0.183821
GENE_305,0.335243
GENE_306,0.170748
GENE_308,0.238526
GENE_309,0.300499
GENE_310,0.336576
GENE_311,0.12997
GENE_312,0.21655
GENE_313,0.202505
GENE_314,0.184667
GENE_315,0.426545
GENE_316,0.290498
GENE_317,0.123912
GENE_318,0.341786
GENE_319,0.462216
GENE_320,0.353247
GENE_321,0.098063
GENE_322,0.201577
GENE_323,0.376691
GENE_324,0.179233
GENE_325,0.294382
GENE_327,0.327463
GENE_328,0.157307
GENE_329,0.244047
GENE_330,0.01
GENE_331,0.147561
GENE_332,0.224743
GENE_333,0.125222
GENE_334,0.413241
GENE_335,0.106986
GENE_336,0.205996
GENE_337,0.263074
GENE_339,0.394127
GENE_340,0.106414
GENE_343,0.366316
GENE_344,0.251023
GENE_345,0.151849
GENE_348,0.29621
GENE_349,0.269906
GENE_351,0.189978
GENE_352,0.25698
GENE_353,0.211469
GENE_354,0.261352
GENE_355,0.316213
GENE_357,0.408602
GENE_358,0.126218
GENE_359,0.463303
GENE_360,0.054791
GENE_361,0.234821
GENE_363,0.308832
GENE_365,0.278099
GENE_366,0.18773
GENE_368,0.229188
GENE_369,0.2007
GENE_370,0.191064
GENE_371,0.33496
GENE_372,0.285702
GENE_373,0.180709
GENE_374,0.33996
GENE_375,0.28073
GENE_376,0.331286
GENE_377,0.312963
GENE_380,0.1671
GENE_381,0.193982
GENE_382,0.324729
GENE_383,0.311037
GENE_384,0.24791
GENE_385,0.261733
GENE_386,0.377766
GENE_387,0.190843
GENE_388,0.30471
GENE_389,0.229781
GENE_391,0.228232
GENE_392,0.359878
GENE_393,0.332542
GENE_394,0.331351
GENE_395,0.380548
GENE_396,0.2521
GENE_397,0.318195
GENE_398,0.218973
GENE_399,0.282417
GENE_400,0.236986
GENE_401,0.2597
GENE_402,0.309516
GENE_403,0.168178
GENE_404,0.459239
GENE_405,0.149398
GENE_406,0.128581
GENE_407,0.365811
GENE_408,0.329166
GENE_409,0.462412
GENE_411,0.312835
GENE_412,0.248775
GENE_413,0.160275
GENE_414,0.25758
GENE_415,0.182284
GENE_416,0.347512
GENE_417,0.235294
GENE_418,0.16745
GENE_419,0.217861
GENE_420,0.291293
GENE_421,0.193628
GENE_422,0.167778
GENE_423,0.274369
GENE_426,0.274497
GENE_427,0.199306
GENE_428,0.202896
GENE_429,0.273205
GENE_430,0.105192
GENE_431,0.109254
GENE_432,0.178156
GENE_433,0.228655
GENE_434,0.281091
GENE_435,0.397536
GENE_436,0.335766
GENE_437,0.234006
GENE_438,0.248098
GENE_439,0.149747
GENE_441,0.248149
GENE_442,0.221134
GENE_444,0.282272
GENE_445,0.167277
GENE_446,0.301935
GENE_447,0.403274
GENE_448,0.239124
GENE_449,0.290171
GENE_450,0.319014
GENE_451,0.209878
GENE_452,0.272409
GENE_453,0.251259
GENE_454,0.409768
GENE_455,0.172699
GENE_456,0.252451
GENE_457,0.2998
GENE_458,0.395114
GENE_459,0.345927
GENE_460,0.465318
GENE_461,0.173265
GENE_462,0.337232
GENE_463,0.268334
GENE_465,0.46898
GENE_466,0.16917
GENE_467,0.166028
GENE_468,0.190061
GENE_469,0.03761
GENE_470,0.197424
GENE_471,0.174087
GENE_472,0.265039
GENE_473,0.284176
GENE_474,0.437617
GENE_475,0.345042
GENE_476,0.19231
GENE_477,0.160159
GENE_478,0.299192
GENE_479,0.117977
GENE_480,0.433146
GENE_481,0.367944
GENE_482,0.203082
GENE_483,0.078687
GENE_484,0.385387
GENE_485,0.238546
GENE_487,0.373782
GENE_488,0.090557
GENE_489,0.190062
GENE_490,0.250524
GENE_491,0.254698
GENE_492,0.204993
GENE_493,0.312285
GENE_494,0.143238
GENE_495,0.235762
GENE_496,0.26203
GENE_497,0.301444
GENE_498,0.321161
GENE_499,0.137536
GENE_500,0.096589
GENE_501,0.377768
GENE_502,0.283231
GENE_503,0.175151
GENE_504,0.405115
GENE_505,0.411567
GENE_506,0.36793
GENE_507,0.256752
GENE_509,0.456075
GENE_510,0.425534
GENE_511,0.225104
GENE_512,0.347157
GENE_513,0.314538
GENE_515,0.386863
GENE_516,0.153508
GENE_517,0.318605
GENE_518,0.355842
GENE_519,0.074126
GENE_520,0.131674
GENE_521,0.046077
GENE_525,0.223059
GENE_527,0.321754
GENE_528,0.400236
GENE_530,0.257409
GENE_531,0.412862
GENE_534,0.11199
GENE_536,0.079662
GENE_537,0.244445
GENE_538,0.288407
GENE_539,0.246731
GENE_540,0.043256
GENE_541,0.241088
GENE_542,0.119553
GENE_543,0.316967
GENE_544,0.28666
GENE_545,0.306012
GENE_546,0.198613
GENE_547,0.144079
GENE_548,0.243732
GENE_549,0.345514
GENE_550,0.151427
GENE_551,0.300405
GENE_552,0.196974
GENE_553,0.170713
GENE_554,0.239297
GENE_555,0.146476
GENE_556,0.194635
GENE_557,0.130212
GENE_558,0.446473
GENE_559,0.253526
GENE_560,0.180027
GENE_561,0.271398
GENE_562,0.238767
GENE_563,0.227903
GENE_564,0.311417
GENE_565,0.325751
GENE_566,0.19695
GENE_567,0.192418
GENE_568,0.222495
GENE_569,0.019808
GENE_570,0.098481
GENE_571,0.386687
GENE_572,0.414497
GENE_573,0.225096
GENE_574,0.307656
GENE_575,0.281125
GENE_576,0.557888
GENE_577,0.361957
GENE_578,0.237208
GENE_579,0.154446
GENE_580,0.089355
GENE_581,0.270346
GENE_582,0.174365
GENE_583,0.107775
GENE_584,0.185343
GENE_585,0.141845
GENE_586,0.418714
GENE_587,0.338164
GENE_588,0.249203
GENE_589,0.397994
GENE_590,0.257737
GENE_591,0.163872
GENE_592,0.402312
GENE_593,0.303891
GENE_594,0.146275
GENE_595,0.230966
GENE_596,0.162438
GENE_597,0.11172
GENE_598,0.342618
GENE_599,0.440942
GENE_600,0.110143
GENE_601,0.306297
GENE_602,0.184936
GENE_603,0.201287
GENE_604,0.190761
GENE_605,0.163601
GENE_606,0.254852
GENE_607,0.166905
GENE_608,0.277046
GENE_609,0.244976
GENE_610,0.226105
GENE_611,0.159244
GENE_612,0.192323
GENE_613,0.325539
GENE_615,0.300092
GENE_616,0.152244
GENE_617,0.259933
GENE_618,0.325139
GENE_619,0.083059
GENE_620,0.304336
GENE_621,0.183738
GENE_622,0.30706
GENE_623,0.173674
GENE_624,0.069512
GENE_625,0.087246
GENE_626,0.254808
GENE_627,0.275972
GENE_628,0.159568
GENE_629,0.313859
GENE_630,0.083848
GENE_631,0.243392
GENE_632,0.128898
GENE_633,0.184816
GENE_634,0.25474
GENE_635,0.163959
GENE_636,0.211544
GENE_637,0.350629
GENE_638,0.192311
GENE_641,0.333569
GENE_643,0.137029
GENE_646,0.30298
GENE_647,0.394157
GENE_648,0.01
GENE_649,0.17031
GENE_650,0.307707
GENE_651,0.229695
GENE_652,0.287115
GENE_653,0.189601
GENE_654,0.258659
GENE_655,0.384432
GENE_656,0.366778
GENE_657,0.275442
GENE_658,0.28376
GENE_659,0.208812
GENE_660,0.201239
GENE_661,0.206744
GENE_663,0.289445
GENE_664,0.207902
GENE_665,0.278977
GENE_666,0.45754
GENE_667,0.337112
GENE_668,0.217398
GENE_669,0.370121
GENE_670,0.209192
GENE_671,0.046188
GENE_672,0.149191
GENE_674,0.062921
GENE_675,0.214849
GENE_676,0.251842
GENE_677,0.417644
GENE_678,0.282693
GENE_680,0.22809
GENE_681,0.332941
GENE_682,0.028886
GENE_683,0.273561
GENE_684,0.327087
GENE_685,0.102141
GENE_686,0.364375
GENE_688,0.28385
GENE_689,0.208471
GENE_690,0.313278
GENE_691,0.477069
GENE_692,0.268187
GENE_693,0.274822
GENE_694,0.204064
GENE_695,0.165016
GENE_696,0.333034
GENE_697,0.164392
GENE_698,0.257157
GENE_699,0.202234
GENE_700,0.297898
GENE_701,0.283366
GENE_702,0.353754
GENE_703,0.198998
GENE_704,0.223013
GENE_705,0.152124
GENE_706,0.205571
GENE_707,0.28773
GENE_708,0.325699
GENE_709,0.157783
GENE_710,0.336961
GENE_711,0.385564
GENE_712,0.291343
GENE_713,0.43768
GENE_714,0.172621
GENE_715,0.125535
GENE_716,0.072128
GENE_717,0.399604
GENE_718,0.315437
GENE_719,0.244442
GENE_720,0.277997
GENE_721,0.137451
GENE_723,0.494575
GENE_724,0.262922
GENE_725,0.260939
GENE_726,0.322577
GENE_727,0.298101
GENE_728,0.272388
GENE_729,0.170953
GENE_731,0.297147
GENE_732,0.438202
GENE_734,0.534542
GENE_735,0.409319
GENE_736,0.198878
GENE_737,0.15104
GENE_738,0.237421
GENE_739,0.255572
GENE_740,0.359419
GENE_741,0.080754
GENE_742,0.402955
GENE_743,0.234199
GENE_744,0.207312
GENE_745,0.14879
GENE_746,0.084514
GENE_747,0.332317
GENE_748,0.257332
GENE_749,0.271004
GENE_750,0.120492
GENE_751,0.216422
GENE_755,0.416902
GENE_756,0.224041
GENE_757,0.099686
GENE_758,0.225426
GENE_759,0.222728
GENE_760,0.01
GENE_761,0.244571
GENE_763,0.226907
GENE_764,0.319621
GENE_766,0.434896
GENE_767,0.362657
GENE_768,0.223111
GENE_769,0.139347
GENE_770,0.507336
GENE_771,0.255922
GENE_772,0.251393
GENE_773,0.247587
GENE_774,0.269808
GENE_775,0.235564
GENE_776,0.192634
GENE_777,0.195314
GENE_778,0.246725
GENE_779,0.195658
GENE_780,0.178715
GENE_781,0.260643
GENE_782,0.224502
GENE_783,0.400399
GENE_784,0.01
GENE_785,0.359151
GENE_786,0.374609
GENE_787,0.042661
GENE_788,0.215731
GENE_789,0.212856
GENE_790,0.109249
GENE_791,0.172218
GENE_792,0.138942
GENE_793,0.425227
GENE_795,0.343568
GENE_796,0.377156
GENE_798,0.322167
GENE_799,0.137095
GENE_800,0.197548
GENE_801,0.298937
GENE_803,0.127787
GENE_804,0.3213
GENE_805,0.225967
GENE_806,0.212518
GENE_807,0.321096
GENE_808,0.294426
GENE_809,0.213903
GENE_810,0.365933
GENE_811,0.141894
GENE_812,0.311594
GENE_813,0.30931
GENE_814,0.219045
GENE_815,0.282613
GENE_816,0.124889
GENE_818,0.342403
GENE_819,0.23151
GENE_820,0.197728
GENE_821,0.354901
GENE_822,0.179566
GENE_823,0.109154
GENE_824,0.094337
GENE_825,0.310601
GENE_826,0.121957
GENE_827,0.425479
GENE_828,0.041807
GENE_829,0.419646
GENE_830,0.271102
GENE_831,0.240329
GENE_832,0.195508
GENE_833,0.289914
GENE_834,0.246237
GENE_835,0.36033
GENE_836,0.261423
GENE_837,0.26503
GENE_838,0.213639
GENE_839,0.244305
GENE_840,0.28078
GENE_841,0.078983
GENE_842,0.115181
GENE_843,0.324326
GENE_844,0.267087
GENE_845,0.231602
GENE_846,0.251843
GENE_847,0.284758
GENE_848,0.196024
GENE_849,0.17217
GENE_850,0.269585
GENE_851,0.152163
GENE_852,0.290825
GENE_853,0.079742
GENE_854,0.352916
GENE_855,0.29726
GENE_856,0.275603
GENE_857,0.348269
GENE_858,0.416547
GENE_859,0.351437
GENE_860,0.065913
GENE_861,0.122042
GENE_862,0.187518
GENE_863,0.252609
GENE_864,0.301766
GENE_865,0.177426
GENE_866,0.268677
GENE_867,0.174462
GENE_868,0.188848
GENE_869,0.109334
GENE_870,0.157677
GENE_871,0.114832
GENE_872,0.152413
GENE_873,0.355364
GENE_874,0.15506
GENE_875,0.513238
GENE_876,0.299332
GENE_877,0.268484
GENE_879,0.164164
GENE_880,0.320031
GENE_881,0.192436
GENE_882,0.262201
GENE_883,0.506008
GENE_884,0.240394
GENE_885,0.364927
GENE_886,0.179682
GENE_887,0.246501
GENE_889,0.42708
GENE_890,0.187303
GENE_891,0.431245
GENE_892,0.320775
GENE_893,0.193753
GENE_894,0.313241
GENE_895,0.347255
GENE_896,0.312181
GENE_897,0.092978
GENE_898,0.177286
GENE_899,0.225248
GENE_900,0.242557
GENE_901,0.312067
GENE_902,0.26777
GENE_903,0.116466
GENE_904,0.28802
GENE_905,0.311059
GENE_906,0.305979
GENE_907,0.358078
GENE_908,0.333392
GENE_909,0.295918
GENE_910,0.242983
GENE_911,0.083904
GENE_912,0.292962
GENE_913,0.270769
GENE_914,0.277158
GENE_915,0.122325
GENE_916,0.141894
GENE_917,0.355315
GENE_918,0.246044
GENE_919,0.31815
GENE_920,0.252832
GENE_921,0.252976
GENE_922,0.343828
GENE_923,0.198396
GENE_924,0.259612
GENE_925,0.203772
GENE_926,0.20655
GENE_927,0.219083
GENE_928,0.272213
GENE_929,0.202125
GENE_930,0.375576
GENE_931,0.160539
GENE_932,0.231313
GENE_933,0.206027
GENE_934,0.394698
GENE_935,0.269655
GENE_936,0.353184
GENE_937,0.101444
GENE_938,0.276705
GENE_939,0.338963
GENE_940,0.258228
GENE_941,0.356548
GENE_942,0.198271
GENE_944,0.390935
GENE_945,0.47989
GENE_946,0.213716
GENE_947,0.20545
GENE_948,0.395338
GENE_949,0.407957
GENE_950,0.197714
GENE_951,0.207981
GENE_952,0.221822
GENE_953,0.115555
GENE_954,0.158135
GENE_955,0.149586
GENE_956,0.17322
GENE_957,0.246532
GENE_958,0.273421
GENE_959,0.40505
GENE_960,0.150165
GENE_961,0.348432
GENE_962,0.228601
GENE_963,0.245054
GENE_964,0.317482
GENE_965,0.137728
GENE_966,0.288241
GENE_967,0.266645
GENE_968,0.299245
GENE_969,0.278917
GENE_970,0.49553
GENE_971,0.186226
GENE_972,0.1969
GENE_973,0.187686
GENE_974,0.194452
GENE_975,0.186261
GENE_976,0.368902
GENE_977,0.54205
GENE_978,0.342925
GENE_979,0.166764
GENE_980,0.297142
GENE_981,0.194778
GENE_982,0.313293
GENE_983,0.270292
GENE_984,0.098426
GENE_985,0.404751
GENE_986,0.429588
GENE_987,0.188721
GENE_988,0.21123
GENE_989,0.278587
GENE_990,0.283446
GENE_991,0.315854
GENE_992,0.45102
GENE_993,0.232305
GENE_994,0.17017
GENE_995,0.112068
GENE_996,0.176907
GENE_997,0.246687
GENE_998,0.429456
GENE_999,0.198239
GENE_1000,0.272379
GENE_1001,0.248358
GENE_1002,0.368839
GENE_1003,0.502693
GENE_1004,0.196913
GENE_1005,0.201056
GENE_1006,0.354416
GENE_1007,0.318189
GENE_1008,0.434671
GENE_1009,0.308393
GENE_1010,0.214071
GENE_1011,0.309065
GENE_1013,0.36087
GENE_1014,0.332048
GENE_1015,0.300727
GENE_1016,0.356667
GENE_1017,0.36693
GENE_1018,0.388216
GENE_1019,0.314871
GENE_1020,0.233288
GENE_1021,0.264671
GENE_1022,0.370651
GENE_1023,0.168306
GENE_1024,0.286867
GENE_1025,0.210666
GENE_1026,0.252874
GENE_1027,0.377845
GENE_1028,0.26911
GENE_1029,0.254644
GENE_1030,0.114014
GENE_1031,0.324625
GENE_1032,0.314548
GENE_1033,0.466325
GENE_1034,0.219222
GENE_1036,0.271915
GENE_1038,0.274938
GENE_1039,0.407745
GENE_1040,0.24047
GENE_1041,0.277902
GENE_1042,0.31079
GENE_1043,0.268661
GENE_1045,0.205357
GENE_1046,0.269409
GENE_1047,0.357363
GENE_1048,0.147348
GENE_1049,0.263297
GENE_1050,0.179988
GENE_1051,0.369505
GENE_1052,0.097681
GENE_1053,0.194108
GENE_1054,0.287721
GENE_1055,0.406552
GENE_1056,0.243425
GENE_1057,0.19448
GENE_1059,0.438116
GENE_1060,0.105199
GENE_1061,0.030119
GENE_1062,0.294001
GENE_1063,0.199795
GENE_1064,0.147877
GENE_1065,0.320836
GENE_1066,0.27438
GENE_1068,0.193592
GENE_1069,0.12197
GENE_1070,0.337246
GENE_1071,0.31502
GENE_1072,0.240082
GENE_1073,0.434664
GENE_1074,0.142992
GENE_1075,0.097447
GENE_1076,0.180809
GENE_1077,0.245441
GENE_1078,0.274334
GENE_1079,0.225876
GENE_1081,0.285206
GENE_1082,0.124846
GENE_1083,0.394376
GENE_1084,0.241785
GENE_1085,0.36173
GENE_1086,0.284273
GENE_1087,0.295675
GENE_1088,0.306977
GENE_1089,0.294771
GENE_1090,0.314272
GENE_1091,0.382915
GENE_1092,0.269652
GENE_1093,0.3209
GENE_1094,0.241026
GENE_1096,0.394012
GENE_1097,0.182361
GENE_1098,0.430094
GENE_1099,0.245984
GENE_1100,0.106922
GENE_1101,0.26281
GENE_1102,0.181895
GENE_1103,0.334064
GENE_1104,0.184738
GENE_1105,0.205382
GENE_1106,0.061046
GENE_1107,0.204769
GENE_1108,0.01
GENE_1109,0.09161
GENE_1110,0.326041
GENE_1111,0.32858
GENE_1112,0.292546
GENE_1113,0.153302
GENE_1114,0.245229
GENE_1115,0.24964
GENE_1116,0.134164
GENE_1117,0.40034
GENE_1118,0.337736
GENE_1119,0.227904
GENE_1120,0.252689
GENE_1121,0.270838
GENE_1122,0.045827
GENE_1123,0.225282
GENE_1124,0.331802
GENE_1125,0.149838
GENE_1126,0.22189
GENE_1127,0.429769
GENE_1128,0.314084
GENE_1129,0.192882
GENE_1130,0.307258
GENE_1131,0.389936
GENE_1132,0.342463
GENE_1133,0.255963
GENE_1134,0.185306
GENE_1135,0.319822
GENE_1136,0.289349
GENE_1138,0.339519
GENE_1139,0.313517
GENE_1141,0.354955
GENE_1142,0.196476
GENE_1143,0.381739
GENE_1144,0.26976
GENE_1145,0.457526
GENE_1147,0.181081
GENE_1148,0.423596
GENE_1149,0.269791
GENE_1150,0.184858
GENE_1151,0.201611
GENE_1152,0.217965
GENE_1153,0.292417
GENE_1154,0.302284
GENE_1155,0.19263
GENE_1156,0.247565
GENE_1157,0.464227
GENE_1158,0.422754
GENE_1159,0.293632
GENE_1160,0.2538
GENE_1161,0.262003
GENE_1162,0.311352
GENE_1163,0.147721
GENE_1164,0.224262
GENE_1165,0.083142
GENE_1166,0.289922
GENE_1167,0.31472
GENE_1168,0.201681
GENE_1169,0.407399
GENE_1170,0.127423
GENE_1171,0.103563
GENE_1172,0.272445
GENE_1173,0.35471
GENE_1174,0.418393
GENE_1175,0.204112
GENE_1176,0.357868
GENE_1177,0.246149
GENE_1178,0.232737
GENE_1179,0.338366
GENE_1181,0.315232
GENE_1182,0.092361
GENE_1183,0.397654
GENE_1184,0.388009
GENE_1185,0.187444
GENE_1186,0.28958
GENE_1187,0.299403
GENE_1188,0.276067
GENE_1189,0.194969
GENE_1190,0.182838
GENE_1191,0.247445
GENE_1192,0.367273
GENE_1193,0.30436
GENE_1194,0.212939
GENE_1195,0.32717
GENE_1196,0.01
GENE_1197,0.514877
GENE_1198,0.076029
GENE_1199,0.213756
GENE_1201,0.138033
GENE_1202,0.120532
GENE_1203,0.366083
GENE_1204,0.20323
GENE_1205,0.28465
GENE_1206,0.245308
GENE_1207,0.297704
GENE_1209,0.257682
GENE_1210,0.121701
GENE_1211,0.349627
GENE_1212,0.200624
GENE_1213,0.094342
GENE_1214,0.207188
GENE_1215,0.400076
GENE_1216,0.335022
GENE_1217,0.215135
GENE_1218,0.215074
GENE_1220,0.217836
GENE_1225,0.457675
GENE_1226,0.288194
GENE_1227,0.293004
GENE_1228,0.353028
GENE_1229,0.273879
GENE_1230,0.224096
GENE_1231,0.230365
GENE_1232,0.24284
GENE_1233,0.246278
GENE_1234,0.322763
GENE_1235,0.255195
GENE_1236,0.323264
GENE_1237,0.241928
GENE_1238,0.257864
GENE_1239,0.05018
GENE_1240,0.341633
GENE_1241,0.284649
GENE_1242,0.349801
GENE_1244,0.01
GENE_1245,0.458837
GENE_1246,0.236041
GENE_1247,0.360818
GENE_1248,0.146009
GENE_1249,0.311277
GENE_1250,0.144658
GENE_1251,0.187623
GENE_1252,0.441403
GENE_1253,0.230932
GENE_1254,0.271743
GENE_1255,0.337007
GENE_1256,0.299568
GENE_1257,0.265042
GENE_1258,0.286496
GENE_1259,0.490342
GENE_1260,0.244238
GENE_1261,0.27011
GENE_1262,0.355065
GENE_1263,0.360553
GENE_1264,0.518703
GENE_1265,0.313873
GENE_1266,0.1357
GENE_1267,0.413343
GENE_1268,0.135365
GENE_1269,0.280264
GENE_1270,0.174572
GENE_1271,0.243586
GENE_1272,0.282876
GENE_1273,0.282136
GENE_1274,0.292192
GENE_1275,0.411371
GENE_1276,0.295353
GENE_1278,0.225584
GENE_1279,0.346409
GENE_1281,0.368947
GENE_1282,0.127239
GENE_1283,0.30974
GENE_1284,0.320117
GENE_1285,0.220244
GENE_1286,0.387571
GENE_1287,0.234994
GENE_1288,0.262558
GENE_1289,0.232693
GENE_1290,0.251558
GENE_1291,0.140372
GENE_1292,0.105995
GENE_1293,0.409451
GENE_1294,0.165304
GENE_1295,0.150861
GENE_1296,0.034661
GENE_1297,0.186104
GENE_1298,0.117691
GENE_1299,0.414202
GENE_1300,0.350982
GENE_1301,0.181185
GENE_1303,0.475244
GENE_1304,0.348177
GENE_1305,0.217517
GENE_1306,0.01
GENE_1307,0.479094
GENE_1308,0.111043
GENE_1309,0.08546
GENE_1310,0.352257
GENE_1311,0.493975
GENE_1312,0.388427
GENE_1313,0.306391
GENE_1314,0.309475
GENE_1315,0.335342
GENE_1316,0.325893
GENE_1317,0.278119
GENE_1318,0.26042
GENE_1319,0.243741
GENE_1320,0.174604
GENE_1321,0.221932
GENE_1322,0.080704
GENE_1323,0.240166
GENE_1324,0.151141
GENE_1326,0.139641
GENE_1327,0.267989
GENE_1328,0.3892
GENE_1329,0.341832
GENE_1330,0.09295
GENE_1331,0.151037
GENE_1333,0.344077
GENE_1334,0.151751
GENE_1335,0.227537
GENE_1336,0.305005
GENE_1337,0.153166
GENE_1338,0.260538
GENE_1339,0.116597
GENE_1340,0.189863
GENE_1341,0.281978
GENE_1342,0.090701
GENE_1344,0.294047
GENE_1345,0.248036
GENE_1346,0.305249
GENE_1347,0.272391
GENE_1348,0.386414
GENE_1349,0.262522
GENE_1350,0.207059
GENE_1351,0.26223
GENE_1352,0.30433
GENE_1353,0.254886
GENE_1354,0.254059
GENE_1355,0.179801
GENE_1356,0.18371
GENE_1357,0.109739
GENE_1358,0.424958
GENE_1359,0.125614
GENE_1360,0.180709
GENE_1361,0.178159
GENE_1362,0.339492
GENE_1363,0.220505
GENE_1365,0.374774
GENE_1366,0.182651
GENE_1367,0.277899
GENE_1368,0.166465
GENE_1369,0.464515
GENE_1370,0.13124
GENE_1371,0.280982
GENE_1372,0.313378
GENE_1374,0.29138
GENE_1375,0.231471
GENE_1376,0.237018
GENE_1378,0.254381
GENE_1379,0.2353
GENE_1380,0.346388
GENE_1381,0.471052
GENE_1382,0.194251
GENE_1383,0.11302
GENE_1384,0.241172
GENE_1385,0.507971
GENE_1386,0.169633
GENE_1387,0.413912
GENE_1388,0.41777
GENE_1389,0.194641
GENE_1390,0.306898
