Gene,Score
GENE_9136,0.471069
GENE_1381,0.471052
GENE_8818,0.470986
GENE_9310,0.470961
GENE_13711,0.470911
GENE_17242,0.470805
GENE_9037,0.470647
GENE_14036,0.470224
GENE_6651,0.470201
GENE_17676,0.47005
GENE_7292,0.469665
GENE_4634,0.469622
GENE_17404,0.469618
GENE_9202,0.469345
GENE_14422,0.469164
GENE_142,0.469046
GENE_9138,0.469042
GENE_465,0.46898
GENE_7837,0.468724
GENE_9067,0.468573
GENE_5537,0.468509
GENE_14108,0.468423
GENE_4312,0.46841
GENE_6616,0.467856
GENE_17312,0.467755
GENE_12835,0.467732
GENE_13425,0.467729
GENE_10496,0.46718
GENE_12119,0.467119
GENE_1936,0.467094
GENE_14844,0.467045
GENE_4385,0.466994
GENE_17483,0.466736
GENE_14835,0.466696
GENE_10836,0.466552
GENE_3661,0.466506
GENE_1576,0.4665
GENE_1033,0.466325
GENE_8342,0.466254
GENE_8773,0.465912
GENE_8628,0.465814
GENE_1545,0.465731
GENE_14539,0.465722
GENE_10546,0.465635
GENE_5109,0.465493
GENE_460,0.465318
GENE_16443,0.465031
GENE_11744,0.464871
GENE_9459,0.46483
GENE_16274,0.464824
GENE_7007,0.464582
GENE_17695,0.46453
GENE_1369,0.464515
GENE_299,0.464394
GENE_16532,0.464344
GENE_7249,0.464301
GENE_1157,0.464227
GENE_7456,0.463559
GENE_12358,0.463532
GENE_359,0.463303
GENE_17029,0.463215
GENE_17685,0.462894
GENE_12719,0.462593
GENE_7846,0.46249
GENE_3897,0.462477
GENE_8252,0.462456
GENE_409,0.462412
GENE_319,0.462216
GENE_7917,0.462163
GENE_8845,0.462099
GENE_14713,0.461773
GENE_11556,0.461732
GENE_11220,0.46168
GENE_11760,0.461601
GENE_17584,0.461411
GENE_17299,0.461209
GENE_8217,0.46113
GENE_15495,0.461034
GENE_14166,0.460694
GENE_15696,0.460586
GENE_6560,0.46053
GENE_12973,0.460509
GENE_17645,0.460402
GENE_17234,0.459975
GENE_2401,0.459972
GENE_17594,0.459964
GENE_8770,0.459941
GENE_6361,0.459822
GENE_4767,0.459794
GENE_3841,0.459584
GENE_4673,0.45932
GENE_404,0.459239
GENE_7689,0.459109
GENE_2356,0.458954
GENE_2776,0.458844
GENE_1245,0.458837
GENE_17606,0.458824
GENE_16589,0.458626
GENE_3591,0.458605
GENE_6208,0.458471
GENE_6061,0.458266
GENE_8822,0.457778
GENE_9036,0.457734
GENE_1225,0.457675
GENE_666,0.45754
GENE_1145,0.457526
GENE_4957,0.457507
GENE_2100,0.457408
GENE_17603,0.457128
GENE_14810,0.456995
GENE_5781,0.456823
GENE_3833,0.456791
GENE_7448,0.456422
GENE_1806,0.456252
GENE_1662,0.45615
GENE_509,0.456075
GENE_11351,0.456042
GENE_7794,0.455985
GENE_7033,0.455781
GENE_1765,0.45575
GENE_13921,0.455659
GENE_2755,0.455654
GENE_1589,0.455621
GENE_15887,0.455481
GENE_10011,0.455451
GENE_8646,0.455419
GENE_15330,0.45541
GENE_10863,0.455409
GENE_6558,0.455382
GENE_3755,0.455297
GENE_9262,0.455207
GENE_16119,0.455151
GENE_9662,0.455125
GENE_3921,0.454981
GENE_7722,0.454871
GENE_3692,0.454686
GENE_9824,0.454565
GENE_17279,0.454494
GENE_8406,0.454448
GENE_5516,0.454218
GENE_4111,0.454208
GENE_4779,0.454207
GENE_14403,0.454035
GENE_17786,0.454027
GENE_10612,0.454013
GENE_9604,0.453721
GENE_6117,0.453587
GENE_17705,0.453564
GENE_10025,0.453553
GENE_17577,0.453447
GENE_13371,0.453116
GENE_17644,0.452757
GENE_10396,0.452682
GENE_2375,0.452431
GENE_2361,0.452361
GENE_5814,0.452259
GENE_10951,0.452217
GENE_7380,0.452069
GENE_16269,0.45192
GENE_13722,0.451781
GENE_13449,0.451778
GENE_4328,0.451528
GENE_17495,0.451368
GENE_10076,0.451355
GENE_1555,0.451339
GENE_2943,0.451227
GENE_992,0.45102
GENE_17620,0.451007
GENE_10531,0.450847
GENE_11820,0.450641
GENE_1661,0.450609
GENE_2211,0.450547
GENE_10613,0.450442
GENE_17678,0.450309
GENE_17009,0.450295
GENE_8636,0.450243
GENE_13054,0.450192
GENE_17778,0.450024
